GEO_ID,S1903_C02_001E,S1903_C01_001E,S1903_C01_001M,S1903_C01_002E,S1903_C01_002M,S1903_C01_003E,S1903_C01_003M,S1903_C01_004E,S1903_C01_004M,S1903_C01_005E,S1903_C01_005M,S1903_C01_006E,S1903_C01_006M,S1903_C01_007E,S1903_C01_007M,S1903_C01_008E,S1903_C01_008M,S1903_C01_009E,S1903_C01_009M,S1903_C01_010E,S1903_C01_010M,S1903_C01_012E,S1903_C01_012M,S1903_C01_013E,S1903_C01_013M,S1903_C01_014E,S1903_C01_014M,S1903_C01_015E,S1903_C01_015M,S1903_C01_016E,S1903_C01_016M,S1903_C01_017E,S1903_C01_017M,S1903_C01_018E,S1903_C01_018M,S1903_C01_019E,S1903_C01_019M,S1903_C01_020E,S1903_C01_020M,S1903_C01_021E,S1903_C01_021M,S1903_C01_022E,S1903_C01_022M,S1903_C01_023E,S1903_C01_023M,S1903_C01_024E,S1903_C01_024M,S1903_C01_025E,S1903_C01_025M,S1903_C01_026E,S1903_C01_026M,S1903_C01_027E,S1903_C01_027M,S1903_C01_028E,S1903_C01_028M,S1903_C01_029E,S1903_C01_029M,S1903_C01_030E,S1903_C01_030M,S1903_C01_031E,S1903_C01_031M,S1903_C02_001M,S1903_C02_002E,S1903_C02_002M,S1903_C02_003E,S1903_C02_003M,S1903_C02_004E,S1903_C02_004M,S1903_C02_005E,S1903_C02_005M,S1903_C02_006E,S1903_C02_006M,S1903_C02_007E,S1903_C02_007M,S1903_C02_008E,S1903_C02_008M,S1903_C02_009E,S1903_C02_009M,S1903_C02_010E,S1903_C02_010M,S1903_C02_012E,S1903_C02_012M,S1903_C02_013E,S1903_C02_013M,S1903_C02_014E,S1903_C02_014M,S1903_C02_015E,S1903_C02_015M,S1903_C02_016E,S1903_C02_016M,S1903_C02_017E,S1903_C02_017M,S1903_C02_018E,S1903_C02_018M,S1903_C02_019E,S1903_C02_019M,S1903_C02_020E,S1903_C02_020M,S1903_C02_021E,S1903_C02_021M,S1903_C02_022E,S1903_C02_022M,S1903_C02_023E,S1903_C02_023M,S1903_C02_024E,S1903_C02_024M,S1903_C02_025E,S1903_C02_025M,S1903_C02_026E,S1903_C02_026M,S1903_C02_027E,S1903_C02_027M,S1903_C02_028E,S1903_C02_028M,S1903_C02_029E,S1903_C02_029M,S1903_C02_030E,S1903_C02_030M,S1903_C02_031E,S1903_C02_031M,NAME
id,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Total!!Margin of Error!!Households,Total!!Estimate!!One race!!White,Total!!Margin of Error!!One race!!White,Total!!Estimate!!One race!!Black or African American,Total!!Margin of Error!!One race!!Black or African American,Total!!Estimate!!One race!!American Indian and Alaska Native,Total!!Margin of Error!!One race!!American Indian and Alaska Native,Total!!Estimate!!One race!!Asian,Total!!Margin of Error!!One race!!Asian,Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander,Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander,Total!!Estimate!!One race!!Some other race,Total!!Margin of Error!!One race!!Some other race,Total!!Estimate!!Two or more races,Total!!Margin of Error!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),Total!!Margin of Error!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino",Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Total!!Estimate!!FAMILIES!!Families,Total!!Margin of Error!!FAMILIES!!Families,Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years,Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years,Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years,Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years,Total!!Estimate!!FAMILIES!!Married-couple families,Total!!Margin of Error!!FAMILIES!!Married-couple families,"Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present",Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone,Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Median income (dollars)!!Margin of Error!!Households,Median income (dollars)!!Estimate!!One race!!White,Median income (dollars)!!Margin of Error!!One race!!White,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Margin of Error!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Margin of Error!!One race!!Asian,Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander,Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander,Median income (dollars)!!Estimate!!One race!!Some other race,Median income (dollars)!!Margin of Error!!One race!!Some other race,Median income (dollars)!!Estimate!!Two or more races,Median income (dollars)!!Margin of Error!!Two or more races,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Margin of Error!!FAMILIES!!Families,Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years,Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years,Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years,Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years,Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families,Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families,"Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present",Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone,Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Geographic Area Name
1600000US1700113,43989,1422,119,95.9,3.9,2.9,3.4,1.3,2.1,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,95.9,3.9,3.2,4.4,37.1,6.7,31.6,4.9,28.1,3.9,917,105,54.7,7.6,45.3,7.6,71.1,10.6,20.5,8.6,8.4,7.6,505,127,52.5,11.2,50.7,10.6,1.8,2.7,47.5,11.2,31.3,11.4,16.2,10.4,19.4,(X),11.3,(X),34.1,(X),7320,44122,7019,52031,47030,-,**,-,**,-,**,-,**,-,**,-,**,44122,7019,-,**,54286,24690,56528,12014,14893,7922,50975,8168,46556,16769,51825,4943,60357,6200,29100,9470,46639,3422,16813,5455,13886,2172,13682,2150,-,**,44861,26500,44028,30537,46875,58812,(X),(X),(X),(X),(X),(X),"Abingdon city, Illinois"
1600000US1700178,28984,78,33,100,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,100,32.7,12.8,19,25.6,31.3,6.4,11.7,55.1,27.5,40,35,50,46.6,50,46.6,100,46.9,0,46.9,0,46.9,38,24,73.7,36.5,73.7,36.5,0,48.1,26.3,36.5,26.3,36.5,0,48.1,6.4,(X),0,(X),13.2,(X),9201,28984,9201,-,**,-,**,-,**,-,**,-,**,-,**,-,**,28984,9201,-,**,-,**,"2,500-",***,28854,22397,29063,6858,-,**,29583,33788,29063,6858,-,**,-,**,12333,42928,11500,39228,11500,39228,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),"Adair CDP, Illinois"
1600000US1700230,43594,117,24,100,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,2.6,4.2,97.4,4.2,1.7,4.1,29.9,11.8,41,14.3,27.4,11.5,77,25,44.2,17.9,55.8,17.9,80.5,17.8,3.9,7.5,15.6,16.2,40,16,47.5,24.5,47.5,24.5,0,46.9,52.5,24.5,25,18.9,27.5,19.3,24.8,(X),27.3,(X),20,(X),7180,43594,7180,-,**,-,**,-,**,-,**,-,**,-,**,-,**,43500,8351,-,**,46250,9460,51250,26228,35625,17802,50625,8091,53750,30844,50208,11862,53333,17068,"2,500-",***,31875,8698,36667,3543,26250,19321,26250,19321,-,**,37083,13842,36000,13430,46250,38566,(X),(X),(X),(X),(X),(X),"Addieville village, Illinois"
1600000US1700243,61287,12086,358,81,2.3,2.9,1,0,0.3,7.3,1.3,0,0.3,8.4,1.9,0.5,0.4,31,2.4,58.6,2.5,3.4,1.6,42.5,3,37.5,2.7,16.6,1.6,9541,329,48,3.5,52,3.5,74,3.2,19.4,2.9,6.6,1.9,2545,388,44.5,6.7,38.4,6.5,6.1,3.8,55.5,6.7,46.1,6.8,9.4,4.7,32.5,(X),33.3,(X),26.1,(X),4673,62366,7560,24219,32620,-,**,69141,36509,-,**,46042,12883,47143,48798,51139,4791,70347,5458,21217,13211,58398,4860,76700,5379,42530,9386,66564,4124,56958,4846,76588,5764,74929,5740,34831,12436,51463,28073,30750,7838,27841,5839,24091,4732,75938,83836,42768,24980,27841,21861,71036,3792,(X),(X),(X),(X),(X),(X),"Addison village, Illinois"
1600000US1700295,49375,41,12,100,46.3,0,46.3,0,46.3,0,46.3,0,46.3,0,46.3,0,46.3,0,46.3,100,46.3,19.5,20.8,14.6,13.9,53.7,21.4,12.2,16.1,21,9,23.8,22.7,76.2,22.7,100,64.7,0,64.7,0,64.7,20,9,15,27.5,5,20.4,10,16.7,85,27.5,55,40.1,30,38.4,39,(X),19,(X),60,(X),12733,49375,12733,-,**,-,**,-,**,-,**,-,**,-,**,-,**,49375,12733,95500,80285,41667,16518,51250,10564,29375,38534,44375,24059,42083,80862,48750,18354,44375,24059,-,**,-,**,51250,16527,48125,68114,-,**,-,**,54375,32654,44583,20692,96000,65727,(X),(X),(X),(X),(X),(X),"Adeline village, Illinois"
1600000US1700516,61146,325,53,98.2,3.1,0,9.5,0,9.5,1.8,3.1,0,9.5,0,9.5,0,9.5,2.5,4.1,95.7,4.8,1.2,2,30.2,9.2,44.9,8.4,23.7,8.2,233,50,34.3,11,65.7,11,82.4,8.9,15.5,8.6,2.1,2.6,92,31,42.4,19.5,42.4,19.5,0,29,57.6,19.5,46.7,18.2,10.9,14.3,30.8,(X),28.3,(X),37,(X),9303,60521,9464,-,**,-,**,-,**,-,**,-,**,-,**,-,**,59063,9633,-,**,69688,11898,66875,20673,32083,11789,66406,10245,75000,11434,61528,13112,72500,9204,34583,29402,82917,26443,45417,18703,22188,17359,22188,17359,-,**,62639,11939,60417,20426,78438,15328,(X),(X),(X),(X),(X),(X),"Albany village, Illinois"
1600000US1700555,76607,355,55,97.5,3.8,0.3,0.9,0,8.7,0,8.7,0,8.7,2.3,3.8,0,8.7,3.7,4.4,96.1,4.5,0,8.7,44.5,7.7,37.2,8.3,18.3,7,321,52,56.4,9.1,43.6,9.1,77.9,8.9,10.9,7.4,11.2,7.5,34,17,73.5,23.8,61.8,25.9,11.8,17.9,26.5,23.8,26.5,23.8,0,50.9,17.2,(X),15.3,(X),11.8,(X),15505,78750,14864,-,**,-,**,-,**,-,**,-,**,-,**,42031,12263,80938,15211,-,**,73333,27537,96071,9817,35469,12060,83438,12844,88750,8965,70000,13419,90870,4659,28125,2333,35962,8250,26250,4274,23750,5677,22188,5132,-,**,31250,6449,31250,6449,-,**,(X),(X),(X),(X),(X),(X),"Albers village, Illinois"
1600000US1700568,33844,897,86,97.1,2.1,1.2,1.5,0,3.6,0,3.6,0,3.6,0,3.6,1.7,1.9,0,3.6,97.1,2.1,2.9,3.3,30.9,5.6,34.7,6.2,31.5,6,565,68,44.4,8.5,55.6,8.5,77.7,7.7,12.9,7,9.4,5.5,332,74,56.3,10.8,56.3,10.8,0,9.3,43.7,10.8,41,10.3,2.7,3.1,26.9,(X),28.3,(X),24.4,(X),4123,33750,3981,-,**,-,**,-,**,-,**,-,**,64844,1942,-,**,33750,3981,40789,45407,36607,19690,45509,5977,20625,3239,45822,3989,43472,17837,48190,5060,48922,3666,28194,10784,14813,15997,22250,6814,17313,4135,17313,4135,-,**,29583,6127,29000,8014,42750,27925,(X),(X),(X),(X),(X),(X),"Albion city, Illinois"
1600000US1700646,40047,1486,121,98.7,1.6,0,2.2,0,2.2,0,2.2,0.9,1.5,0,2.2,0.4,0.6,1,1.4,97.7,2.1,11,5,26.4,4.4,35.2,4.9,27.3,4.4,1041,94,53.3,6.4,46.7,6.4,73,7.7,22,7.3,5,3.6,445,114,64.5,14.8,58.9,15.2,5.6,5.5,35.5,14.8,24,13.2,11.5,9.7,24.8,(X),27.3,(X),18.9,(X),4981,40212,5477,-,**,-,**,-,**,-,**,-,**,-,**,-,**,40566,5543,30441,22457,36583,10259,55114,7812,38472,3917,50924,11338,32290,11272,61944,6685,61389,7186,8418,1676,32097,35046,23973,11775,24688,19406,23571,13043,56750,62587,21250,16495,16771,3872,45781,16833,(X),(X),(X),(X),(X),(X),"Aledo city, Illinois"
1600000US1700672,48125,417,68,99.3,1,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0.7,1,0,7.5,99.3,1,0,7.5,31.9,9.7,38.8,9.2,29.3,8.1,292,63,37.7,13,62.3,13,82.2,10.4,15.8,10.2,2.1,2.5,125,45,51.2,18.1,51.2,18.1,0,22.6,48.8,18.1,42.4,17.2,6.4,8,24.5,(X),24.7,(X),24,(X),12836,48750,12742,-,**,-,**,-,**,-,**,-,**,-,**,-,**,48750,12742,-,**,51563,35750,57143,15793,24464,7064,58500,8936,61667,33270,57500,9263,66875,12157,22083,28849,82500,210069,27829,7461,20962,2358,20962,2358,-,**,34083,9167,33417,7463,85500,1798,(X),(X),(X),(X),(X),(X),"Alexis village, Illinois"
1600000US1700685,96507,9891,230,87.7,1.7,1.7,0.8,0.2,0.3,7.3,1.3,0.2,0.2,2.7,1.1,0.2,0.2,6.8,1.7,83.8,2,0.7,0.7,43.6,2.4,43,2.4,12.7,1.5,7899,191,56.3,2.7,43.7,2.7,88.2,2.6,8.6,2.2,3.2,1.4,1992,255,59.8,6.9,51.5,7.8,8.3,5.2,40.2,6.9,34.2,6.8,6,3.4,25.3,(X),26.5,(X),17.7,(X),5932,93878,4937,124773,117824,117946,105817,144946,29793,-,**,75809,44404,66875,29113,95511,35285,93736,4994,38125,46289,103926,5967,101843,5212,48589,9699,106608,3793,111309,5957,102230,7921,112167,5179,54492,14718,63047,16505,59063,8894,49946,8208,45625,5936,75417,13322,69647,9154,69375,8631,74135,38887,(X),(X),(X),(X),(X),(X),"Algonquin village, Illinois"
1600000US1700737,46875,253,41,98.4,2.3,0,12,0,12,0,12,0,12,0,12,1.6,2.3,0,12,98.4,2.3,5.5,7,21.3,10.8,37.5,11.2,35.6,10.4,173,36,26.6,13.7,73.4,13.7,76.9,11.2,12.1,8.8,11,11.2,80,32,71.3,21.7,55,22,16.3,18.1,28.8,21.7,26.3,21,2.5,5.1,36,(X),31.8,(X),45,(X),11077,46518,10383,-,**,-,**,-,**,-,**,-,**,-,**,-,**,46518,10383,46591,1001,57813,24227,53438,18475,33125,11357,59063,6103,56250,11587,61250,20676,61125,14624,70417,82413,"2,500-",***,28333,21114,31250,12879,32917,4539,16625,54320,14712,25511,14519,6830,-,**,(X),(X),(X),(X),(X),(X),"Alhambra village, Illinois"
1600000US1700815,48250,190,42,100,15.7,0,15.7,0,15.7,0,15.7,0,15.7,0,15.7,0,15.7,0,15.7,100,15.7,0,15.7,38.4,14.9,42.6,14.7,18.9,10.3,159,44,41.5,14.9,58.5,14.9,83.6,12.3,6.9,9.5,9.4,8.2,31,15,54.8,28.2,51.6,27.3,3.2,9.4,45.2,28.2,45.2,28.2,0,53.3,30,(X),33.3,(X),12.9,(X),6477,48250,6477,-,**,-,**,-,**,-,**,-,**,-,**,-,**,48250,6477,-,**,53750,5253,46250,5318,41250,30456,53015,6099,52000,36883,53162,7940,50250,8396,78472,5587,53281,8474,30938,15425,22813,4830,22500,2983,-,**,40833,7550,40833,7550,-,**,(X),(X),(X),(X),(X),(X),"Allendale village, Illinois"
1600000US1700867,40208,51,21,100,41.5,0,41.5,0,41.5,0,41.5,0,41.5,0,41.5,0,41.5,0,41.5,100,41.5,0,41.5,13.7,14.4,70.6,20.4,15.7,14.9,36,18,36.1,30.7,63.9,30.7,94.4,10.7,5.6,10.7,0,49.4,15,13,26.7,29.8,26.7,29.8,0,76.6,73.3,29.8,73.3,29.8,0,76.6,19.6,(X),19.4,(X),20,(X),14399,40208,14399,-,**,-,**,-,**,-,**,-,**,-,**,-,**,40208,14399,-,**,82813,126279,40833,24444,33750,14225,61250,42619,85469,2697,40625,8386,63750,42903,-,**,-,**,20208,12880,-,**,-,**,-,**,21042,5605,21042,5605,-,**,(X),(X),(X),(X),(X),(X),"Allenville village, Illinois"
1600000US1700880,60750,103,34,100,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,100,26.5,17.5,14.7,32,15.8,32,15.3,18.4,10.9,72,30,27.8,16.7,72.2,16.7,94.4,6.3,5.6,6.3,0,34.4,31,18,64.5,28,25.8,22.4,38.7,33.2,35.5,28,22.6,21.1,12.9,22.9,27.2,(X),23.6,(X),35.5,(X),16475,60750,16475,-,**,-,**,-,**,-,**,-,**,-,**,-,**,60750,16475,49286,79160,59792,6867,78958,20535,24688,25750,76667,18299,76667,37270,72500,36745,76667,17844,77500,142096,-,**,43125,15588,48214,9661,17500,13299,49643,19607,41250,38865,43125,5418,-,**,(X),(X),(X),(X),(X),(X),"Allerton village, Illinois"
1600000US1700919,24167,144,31,96.5,3.9,0,20,0,20,0,20,0,20,1.4,2.2,2.1,3.5,1.4,2.2,96.5,3.9,1.4,2,25.7,10.8,43.1,12.2,29.9,10.9,83,26,42.2,17,57.8,17,75.9,16.1,20.5,16.3,3.6,5.1,61,20,42.6,18.6,36.1,17.9,6.6,9.5,57.4,18.6,54.1,19.5,3.3,5.1,25.7,(X),18.1,(X),36.1,(X),9499,22404,9494,-,**,-,**,-,**,-,**,-,**,-,**,-,**,22404,9494,-,**,21875,36400,29375,18623,17083,6419,37708,12723,38958,30825,34167,14306,45250,13983,12125,9947,-,**,15469,5442,15625,3217,13750,6735,22500,16574,14375,16142,13125,15244,-,**,(X),(X),(X),(X),(X),(X),"Alma village, Illinois"
1600000US1700958,16101,717,128,3.3,2.8,96.7,2.8,0,4.4,0,4.4,0,4.4,0,4.4,0,4.4,1.8,1.9,1.5,1.7,8.4,4,24.7,7.2,46.7,7.3,20.2,4.9,470,87,48.1,10.2,51.9,10.2,22.8,9.6,70.2,9.8,7,5.8,247,81,25.1,14.6,19.4,13,5.7,6.5,74.9,14.6,72.1,14.8,2.8,4.8,25.1,(X),23,(X),10.9,(X),4026,32917,50320,16042,3938,-,**,-,**,-,**,-,**,-,**,77679,92907,-,**,10417,10074,14732,7851,23403,8192,12204,2385,14082,3463,12500,9531,14222,6395,23125,24841,12113,2440,14554,45624,12240,9422,17188,7529,13750,13028,17188,24093,11510,9590,11146,9143,-,**,(X),(X),(X),(X),(X),(X),"Alorton village, Illinois"
1600000US1700971,36250,300,48,99,1.5,0,10.3,0,10.3,0,10.3,0,10.3,0,10.3,1,1.5,0,10.3,99,1.5,1.7,2.7,20.7,6.4,39.3,9.3,38.3,9.1,167,34,35.3,14.5,64.7,14.5,94.6,5.7,5.4,5.7,0,17.6,133,36,64.7,14.1,64.7,14.1,0,21.5,35.3,14.1,26.3,13.2,9,10.7,14,(X),19.8,(X),6.8,(X),12224,34464,12070,-,**,-,**,-,**,-,**,-,**,-,**,-,**,34464,12070,-,**,69167,13547,51250,11508,20625,1934,55313,10481,62969,7186,46389,11082,56875,10965,40938,40614,-,**,21650,2072,20400,2525,20400,2525,-,**,47188,32781,45313,47761,68333,28607,(X),(X),(X),(X),(X),(X),"Alpha village, Illinois"
1600000US1700997,36528,105,28,100,26.1,0,26.1,0,26.1,0,26.1,0,26.1,0,26.1,0,26.1,0,26.1,100,26.1,0,26.1,41,18.6,40,17.6,19,11.5,85,27,55.3,18.9,44.7,18.9,80,14.5,14.1,11.5,5.9,8.5,20,14,90,16.1,90,16.1,0,66.3,10,16.1,10,16.1,0,66.3,11.4,(X),14.1,(X),0,(X),11599,36528,11599,-,**,-,**,-,**,-,**,-,**,-,**,-,**,36528,11599,-,**,43977,12999,35500,39297,11944,5080,43068,12781,36964,24114,46250,17268,43438,19624,36250,21705,42917,8032,11944,7473,11667,5573,11667,5573,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),"Alsey village, Illinois"
1600000US1701010,51424,7369,268,73.8,3,18.6,2.6,0,0.4,3,1.4,0,0.4,4.4,1.6,0.2,0.3,12.3,1.7,65.9,3.2,2.5,1.3,34.8,3.9,38.2,3.9,24.5,2.3,4799,208,45.9,3.6,54.1,3.6,74.9,4.8,19.4,3.7,5.7,2.5,2570,312,59.1,5.9,53.4,6.3,5.7,3.4,40.9,5.9,38.1,6.1,2.8,2.6,33,(X),31,(X),35.1,(X),2628,52096,4855,41434,8300,-,**,80000,13632,-,**,65905,17137,79018,63532,63633,8983,51335,4441,47708,32006,61302,8050,67258,11082,28310,3324,67375,7082,66667,9053,68506,9957,76875,5624,49484,4893,49886,53052,27452,4493,23787,3437,23103,3603,39861,69191,32475,9103,31770,7755,84119,6053,(X),(X),(X),(X),(X),(X),"Alsip village, Illinois"
1600000US1701049,43778,874,107,100,3.6,0,3.6,0,3.6,0,3.6,0,3.6,0,3.6,0,3.6,0,3.6,100,3.6,5.6,2.9,38.1,6.4,32.6,6.6,23.7,4.7,557,80,40.8,7.5,59.2,7.5,85.1,7.2,11.3,6.7,3.6,3.2,317,77,55.8,12.9,55.8,12.9,0,9.7,44.2,12.9,37.9,12.1,6.3,5.8,27.8,(X),22.6,(X),31.9,(X),6309,43778,6309,-,**,-,**,-,**,-,**,-,**,-,**,-,**,43778,6309,51250,33128,36094,15226,56250,9543,32596,14864,52944,3577,49583,8607,54583,6325,54167,4687,10208,18858,56667,12933,25598,1257,21406,10020,21406,10020,-,**,31071,7196,29545,6742,34583,491152,(X),(X),(X),(X),(X),(X),"Altamont city, Illinois"
